Barcode,TradeStock
5038600770837,152
5038600770851,210
5038600770875,178
5038600770899,140
5038600770912,132
5038600648587,40
5038600648594,174
5038600648600,266
5038600648617,183
5038600648624,244
5038600648631,111
5038600704368,36
5038600704375,112
5038600704382,341
5038600704399,221
5038600704405,197
5038600704412,64
5038600704481,113
5038600704498,99
5038600704504,324
5038600704511,340
5038600704528,113
5038600704535,134
5038600647948,8
5038600647955,22
5038600647962,3
5038600647979,2
5038600647986,40
5038600647993,26
5038600648006,29
195017791123,9
195017791147,25
195017791161,36
195017791185,73
195017791208,45
195017791222,26
195017791239,29
5038600818409,29
5038600818416,70
5038600818423,155
5038600818430,246
5038600818447,176
5038600818454,107
5038600818461,98
040707197030,13
040707197047,65
040707197054,381
040707197061,56
040707197085,308
040707197092,56
040707197108,128
797240206148,0
040707197191,47
040707197207,78
040707197214,550
040707197221,537
040707197245,518
040707197252,289
040707197368,129
797240206162,2
664911004504,65
664911004511,649
664911004528,1596
664911004535,2100
664911004542,1276
664911004559,566
664911004566,127
664911033597,177
664911033603,780
664911033610,1701
664911033627,1881
664911033634,1238
664911033641,866
664911033658,180
664911005136,23
664911005143,348
664911005150,688
664911005167,813
664911005174,623
664911005181,272
664911005198,67
664911301429,0
664911301436,0
664911300286,0
664911300293,63
664911300309,406
664911300316,647
664911300323,548
664911300330,182
664911300347,75
664911300354,0
664911301443,5
193715422011,44
193715422028,60
193715422035,72
193715422042,103
193715422059,137
193715422066,142
193715422073,140
193715422080,105
193715422097,58
193715422103,13
193715422110,5
664911116023,33
664911116030,130
664911116047,272
664911116054,252
664911116061,159
664911116078,47
664911116085,55
664911122079,19
664911122086,40
664911122093,76
664911122109,121
664911122116,70
664911122123,27
664911122130,5
195204755822,17
195204755846,72
195204755860,110
195204755884,115
195204755907,74
195204755921,19
195969266045,30
195969266069,38
195969266083,53
195969266106,60
195969266120,35
195969266137,46
